№,Адрес,Име на училище,Вид училище по чл. 10 от ЗНП,Вид училище по чл. 26от ЗНП
1,"Благоевград, Банско, Банско, ул. ""България"" 31, 2770","Професионална лесотехническа гимназия  ""Никола Йонков Вапцаров""",община,професионална гимназия
2,"Банско, Благоевград, Банско, 2770, Цар Самуил 29","Професионална гимназия по селско   стопанство и туризъм ""Алеко Константинов""",община,професионална гимназия
3,"Банско, Благоевград, Банско, 2770, ул ""България"" 23",Професионална гимназия по електроника и енергетика,Министерство на образованието и науката,професионална гимназия
4,"Благоевград, Банско, Банско, ул.""Тодор Александров""№13, 2770","Средно общообразователно училище  ""Неофит Рилски""",община,СОУ (І - ХІІ клас)
5,"Банско, Благоевград, Банско, ""Пирин"" 16, 2770","Начално училище ""Св.Паисий Хилендарски""",община,начално (І - ІV клас)
6,"Благоевград, Банско, Добринище, 2777, ул."" Ив.Галчев""№ 21","Основно училище  ""Свети Климент Охридски""",община,основно (І - VІІІ клас)
7,"Благоевград, Банско, Места, 2772, -","Основно училище  ""Свети свети Кирил и Методий""",община,основно (І - VІІІ клас)
8,"Белица, Благоевград, Бабяк, с.Бабяк общ.Белица, 2784","Основно училище   ""Св.св.Кирил и Методий""",община,основно (І - VІІІ клас)
9,"Белица, Благоевград, Белица, 2780, ул.Г.Андрейчин 27","Средно общообразователно училище ""Св.св.Кирил и Методий""",община,СОУ (І - ХІІ клас)
10,"Белица, Благоевград, Белица, Ул.Димо Хаджидимов 17, 2780","Гимназия  ""Никола Йонков Вапцаров""",община,гимназия (ІХ - ХІІ клас)
11,"Белица, Благоевград, Горно Краище, 2783, с.Горно Краище","Основно училище ""П.К.Яворов""",община,основно (І - VІІІ клас)
12,"Благоевград, Белица, Дагоново, 2779, с.Дагоново","Начално училище ""Петко Р. Славейков""",община,начално (І - ІV клас)
13,"Краище, Благоевград, Белица, 1, 2781","Основно училище   ""Св.Паисий Хилендарски""",община,основно (І - VІІІ клас)
14,"Благоевград, Благоевград, Благоевград, 2700, ул. ""Митрополит Борис"" 2","Второ основно училище  ""Димитър Благоев""",община,основно (І - VІІІ клас)
15,"Благоевград, Благоевград, Благоевград, ул.""Осогово""№9, 2700","Четвърто основно училище  "" Димчо Дебелянов""",община,основно (І - VІІІ клас)
16,"Благоевград, Благоевград, Благоевград, бул.""Иван Михайлов"" 62, 2700",Благоевградска професионална гимназия,община,професионална гимназия
17,"Благоевград, Благоевград, Благоевград, 2700, ул. "" Илинден "" № 13","Седмо средно общообразователно  училище ""Кузман Шапкарев""",община,СОУ (І - ХІІ клас)
18,"Благоевград, Благоевград, Благоевград, ж.к.Еленово, 2700","Единадесето основно училище   ""Христо Ботев""",община,основно (І - VІІІ клас)
19,"Благоевград, Благоевград, Благоевград, ул. ""Марица"" 4, 2700","Езикова гимназия   ""Акад. Людмил Стоянов""",община,профилирана гимназия
20,"Благоевград, Благоевград, Благоевград, 2700, Ул. ""Марица"" №4","Природо-математическа гимназия   ""Акад. Сергей  Павлович  Корольов""",община,профилирана гимназия
21,"Благоевград, Благоевград, Благоевград, ж.к. ""Ален мак"", 2700","Професионална гимназия по икономика   ""Иван Илиев""",Министерство на образованието и науката,професионална гимназия
22,"Благоевград, Благоевград, Благоевград, ул.""Тодор Александров"" №56, 2700","Професионална гимназия по   строителство, архитектура и геодезия "" Васил Левски""",Министерство на образованието и науката,професионална гимназия
23,"Благоевград, Благоевград, Благоевград, 2700, ул. ""Брегалница"" № 2","Средно общообразователно училище с изучаване   на чужди езици ""Свети Климент Охридски""",община,СОУ (І - ХІІ клас)
24,"Благоевград, Благоевград, Благоевград, 2700, бул.""Св.Св.Кирил и Методи"" № 13","Трето основно училище ""Димитър Талев""",община,основно (І - VІІІ клас)
25,"Благоевград, Благоевград, Благоевград, жк""Еленово"", 2700","Осмо средно общообразователно училище    ""Арсени Костенцев""",община,СОУ (І - ХІІ клас)
26,"Благоевград, Благоевград, Благоевград, 2700, жк""Ален мак"", ул. ""Борис Ангелушев"" 1","Девето основно училище   "" Пейо Крачолов Яворов""",община,основно (І - VІІІ клас)
27,"Благоевград, Благоевград, Благоевград, 2700, "" Васил Левски "" № 60",Професионална гимназия   по текстил и облекло,община,професионална гимназия
28,"Благоевград, Благоевград, Благоевград, 2700, ул.""Свобода""№3","Помощно училище""Свети Паисий Хилендарски""",Министерство на образованието и науката,помощно (за деца с умствена изостаналост)
29,"Благоевград, Благоевград, Благоевград, 2700, ул.Цанко Церковски"" 2","Национална хуманитарна гимназия   ""Св.св.Кирил и Методий""",община,профилирана гимназия
30,"Благоевград, Благоевград, Благоевград, 2700, ул. ""Яне Сандански"" №1","Средно общообразователно училище   ""Иван Вазов""",община,СОУ (І - ХІІ клас)
31,"Благоевград, Благоевград, Благоевград, 2700, ""Хр. Чернопеев""16","Пето средно общообразователно училище   ""Георги Измирлиев""",община,СОУ (І - ХІІ клас)
32,"Благоевград, Благоевград, Благоевград, ул. ""Яне Сандански"" №1, 2700","Частно вечерно средно   общообразователно училище  ""Димитър & Йоан""",частно финансиране,V - ХІІ клас
33,"Благоевград, Благоевград, Благоевград, 2700, бул. ""Васил Левски"" 63",Частен професионален   КОЛЕЖ ПО   ИКОНОМИКА И МЕНИДЖМЪНТ,частно финансиране,професионален колеж
34,"Баничан, Благоевград, Гоце Делчев, с. Баничан, 2905","Основно училище   ""Свети Паисий Хилендарски""",община,основно (І - VІІІ клас)
35,"Гоце Делчев, Благоевград, Борово, 2904, 0","Основно училище   ""Св. Климент Охридски""",община,основно (І - VІІІ клас)
36,"Гоце Делчев, Благоевград, Брезница, 2972, Село Брезница","Средно общообразователно училище   ""Св. Св. Кирил и Методий""",община,СОУ (І - ХІІ клас)
37,"Гоце Делчев, Благоевград, Буково, с. Буково, общ. Гоце Делчев, обл. Благоевград, 2915","Основно училище "" Иван Вазов""",община,основно с (присъединена) група в детска градина
38,"Гоце Делчев, Благоевград, Гоце Делчев, 2900, бул. Гоце Делчев 36","Неврокопска професионална  гимназия ""Димитър Талев""",Министерство на образованието и науката,професионална гимназия
39,"Гоце Делчев, Благоевград, Гоце Делчев, ул. ""Скопие"" №4, 2900","Природо-математическа гимназия  ""Яне Сандански""",община,профилирана гимназия
40,"Благоевград, Гоце Делчев, Гоце Делчев, ул.""Симеон Радев"" №6, 2900","Професионална гимназия по механизация    на селското стопанство  ""Пейо Крачолов Яворов""",Министерство на земеделието и храните,професионална гимназия
41,"Гоце Делчев, Благоевград, Гоце Делчев, 2900, ""Отец Паисий"" №4","Първо основно училище ""Св. Св. Кирил и Методий""",община,основно (І - VІІІ клас)
42,"Гоце Делчев, Благоевград, Гоце Делчев, Гоце Делчев, бул. ""Гоце Делчев"", 13, 2900","Второ основно училище  ""Гоце Делчев""",община,основно (І - VІІІ клас)
43,"Гоце Делчев, Благоевград, Гоце Делчев, 2900, ул.""Полковник Дрангов"" 17","Трето основно училище   ""Братя Миладинови""",община,основно (І - VІІІ клас)
44,"Гоце Делчев, Благоевград, Гоце Делчев, Иларион Макариополски 12, 2900","Помощно училище ""Васил Левски""",Министерство на образованието и науката,помощно (за деца с умствена изостаналост)
45,"Корница, Благоевград, Гоце Делчев, 2970, с. Корница","Oсновно училище   ""Св. Паисий Хилендарски""",община,основно (І - VІІІ клас)
46,"Лъжница, Благоевград, Гоце Делчев, с.Лъжница, ул. ""Прогрес"" №6, 2971","Основно училище  ""Петър  Берон""",община,основно с (присъединена) група в детска градина
47,"Благоевград, Гоце Делчев, Мусомища, 2920, ул. ""Гоце Делчев"" № 2","Основно училище  ""Христо Ботев""",община,основно (І - VІІІ клас)
48,"Горно Дряново, Благоевград, Гърмен, 2963, село  Горно  Дряново","Основно   училище  "" Св. Паисий   Хилендарски""",община,основно (І - VІІІ клас)
49,"Гърмен, Благоевград, Гърмен, ул.""Първа"" №42, 2960","Средно общообразователно училище ""Св.Св.Кирил и Методий""",община,СОУ (І - ХІІ клас)
50,"Гърмен, Благоевград, Дебрен, Тренадесет №3, 2961","Основно училище   ""Св. Климент  Охридски""",община,основно (І - VІІІ клас)
51,"Благоевград, Гърмен, Долно Дряново, с. Долно Дряново, 2944","Основно училище ""Христо Ботев""",община,основно (І - VІІІ клас)
52,"Благоевград, Гърмен, Дъбница, 2940, с.Дъбница, ул. ""Втора"" № 16","Основно училище ""Христо Ботев""",община,основно (І - VІІІ клас)
53,"Гърмен, Благоевград, Огняново, 2947, с.Огняново, общ.Гърмен","Основно училище  ""Пейо Крачолов Яворов""",община,основно (І - VІІІ клас)
54,"Рибново, Благоевград, Гърмен, с. Рибново ул. Първа № 55, 2967","Средно общообразователно училище   ""Йордан  Йовков""",община,СОУ (І - ХІІ клас)
55,"Благоевград, Гърмен, Хвостяне, с.Хвостяне, 2942","Основно училище""Димитър Талев""",община,основно с (присъединена) група в детска градина
56,"Кресна, Благоевград, Кресна, 2840, ул. ""Цар Борис II"" 12","Средно общообразователно училище   ""Св.Паисий Хилендарски""",община,СОУ (І - ХІІ клас)
57,"Петрич, Благоевград, Беласица, ул. ""Григор Пърличев"" №1, 2881","Основно училище ""Христо Ботев""",община,основно (І - VІІІ клас)
58,"Благоевград, Петрич, Кавракирово, ул. ""Димитър Благоев"" 21, 2889","Основно училище   ""Св.Св. Кирил и Методий""",община,основно (І - VІІІ клас)
59,"Петрич, Благоевград, Коларово, 2880, с.Коларово","Средно общообразователно училище   ""Васил Левски""",община,СОУ (І - ХІІ клас)
60,"Благоевград, Петрич, Кулата, 2868, с.Кулата","Основно училище ""Св.Св. Кирил и Методий""",община,основно (І - VІІІ клас)
61,"Петрич, Благоевград, Кърналово, с.Кърналово, 2860","Основно училище ""Братя Миладинови""",община,основно (І - VІІІ клас)
62,"Благоевград, Петрич, Марикостиново, с. Марикостиново, ул. ""Свобода"" № 4, 2870","Основно училище ""Св. Св. Кирил и Методий""",община,основно (І - VІІІ клас)
63,"Михнево, Благоевград, Петрич, 0, 2862","Основно Училище  ""Екзарх Йосиф""",община,основно (І - VІІІ клас)
64,"Петрич, Благоевград, Петрич, 2850, ул.""Свобода""№31","Професионална гимназия по   механоелектротехника ""Юрий Гагарин""",Министерство на образованието и науката,професионална гимназия
65,"Петрич, Благоевград, Петрич, ""Отец Паисий ""2, 2850","Професионална гимназия по икономика и туризъм   ""Проф. д-р Асен Златаров""",Министерство на образованието и науката,професионална гимназия
66,"Петрич, Благоевград, Петрич, 2850, ул.""Христо Чернопеев""№ 12","Средно общообразователно училище  ""Никола Йонков Вапцаров""",община,СОУ (І - ХІІ клас)
67,"Благоевград, Петрич, Петрич, 2850, ул. ""Яне Сандански"" №31","Гимназия  ""Пейо К.  Яворов""",община,гимназия (ІХ - ХІІ клас)
68,"Петрич, Благоевград, Петрич, 2850, ул.""Тетово"" №8","Средно общообразователно училище   ""Антон Попов""",община,СОУ (І - ХІІ клас)
69,"Благоевград, Петрич, Петрич, ул. ""Тракия"" №1, 2850","Първо основно училище  ""Кочо Мавродиев""",община,основно (І - VІІІ клас)
70,"Петрич, Благоевград, Петрич, ул. ""България"" № 30, 2850","Трето основно училище  ""Гоце Делчев""",община,основно (І - VІІІ клас)
71,"Петрич, Благоевград, Петрич, ул. ""Генерал Тодоров"" №2, 2850","Четвърто основно училище""Христо Смирненски""",община,основно (І - VІІІ клас)
72,"Благоевград, Петрич, Първомай, ул. ""Младост"" № 8, 2890","Средно общообразователно училище   ""Св.Паисий Хилендарски""",община,СОУ (І - ХІІ клас)
73,"Рупите, Благоевград, Петрич, 2863, 0","Основно Училище   ""Св.св. Кирил и Методий""",община,основно (І - VІІІ клас)
74,"Петрич, Благоевград, Самуилово, 0, 2879","Основно училище ""Антон Попов""",община,основно (І - VІІІ клас)
75,"Петрич, Благоевград, Скрът, 2897, с.Скрът,ул.""Георги Димитров""№5","Основно училище ""Пейо Крачолов  Яворов""",община,основно (І - VІІІ клас)
76,"Разлог, Благоевград, Баня, ул. ""Неофит Рилски"", 1, 2778","Основно училище   ""Св. Паисий Хилендарски""",община,основно (І - VІІІ клас)
77,"Бачево, Благоевград, Разлог, 2769, ул. ""Алексндър Стамболийски""18","Основно училище ""Св. Св. Кирил и Методий""",община,основно (І - VІІІ клас)
78,"Благоевград, Разлог, Горно Драглище, 2797, с.Горно Драглище","Основно училище ""Неофит Рилски""",община,основно (І - VІІІ клас)
79,"Разлог, Благоевград, Добърско, 2799, с. Добърско","Начално  училище ""Свети Климент Охридски""",община,начално (І - ІV клас)
80,"Долно Драглище, Благоевград, Разлог, 0, 2798",Помощно училище-интернат,Министерство на образованието и науката,помощно (за деца с умствена изостаналост)
81,"Разлог, Благоевград, Елешница, 2782, с.Елешница","Основно училище   ""Братя Миладинови""",община,основно (І - VІІІ клас)
82,"Разлог, Благоевград, Разлог, 2760, ул.""Калиново"" No 1","Професионална гимназия по  туризъм и   хранителни технологии  ""Никола Стойчев""",Министерство на образованието и науката,професионална гимназия
83,"Благоевград, Разлог, Разлог, 2760, ул. ""Екзарх Йосиф"" №139",Професионална гимназия   по механизация на селското стопанствo,Министерство на земеделието и храните,професионална гимназия
84,"Разлог, Благоевград, Разлог, Ул.""Христо Ботев""№75, 2760",Професионална гимназия по транспорт,Министерство на образованието и науката,професионална гимназия
85,"Разлог, Благоевград, Разлог, ул.""Любен Каравелов"" 12, 2760","Средно  общообразователно училище    ""Братя Петър и Иван Каназиреви""",община,СОУ (І - ХІІ клас)
86,"Разлог, Благоевград, Разлог, 2760, ул.""Крапа"" 10",Основно училище  Никола Парапунов,община,основно (І - VІІІ клас)
87,"Благоевград, Разлог, Разлог, ул. ""Яне Сандански"" № 17, 2760","Начално училище ""Яне Сандански""",община,начално (І - ІV клас)
88,"Благоевград, Разлог, Разлог, ул.""Екзарх Йосиф""2, 2760","Начално училище""Св.Св.Кирил и Методий""",община,начално (І - ІV клас)
89,"Благоевград, Сандански, Дамяница, 2813, С. Дамяница","Основно  училище   ""Св.Св. Кирил и Методий""",община,основно (І - VІІІ клас)
90,"Катунци, Благоевград, Сандански, с.Катунци,общ.Сандански, 2830","Основно училище""Христо Ботев""",община,основно (І - VІІІ клас)
91,"Сандански, Благоевград, Поленица, с. Поленица, 2804","Начално училище ""Св. Св. Кирил и Методий""",община,начално (І - ІV клас)
92,"Благоевград, Сандански, Сандански, 2800, бул.""Тодор Каблешков"" 2",Професионална техническа гимназия,Министерство на образованието и науката,професионална гимназия
93,"Сандански, Благоевград, Сандански, 2800, ул. ""Георги Казепов"" 1","Земеделска професионална гимназия   ""Климент Аркадиевич Тимирязев""",Министерство на земеделието и храните,професионална гимназия
94,"Сандански, Благоевград, Сандански, Свобода 10, 2800","Второ основно училище    ""Христо Смирненски""",община,основно (І - VІІІ клас)
95,"Сандански, Благоевград, Сандански, ""Свобода"" №10, 2800","Гимназия ""Яне Сандански""",община,гимназия (ІХ - ХІІ клас)
96,"Сандански, Благоевград, Сандански, 2800, ул.""Отец Паисий"" 2","Първо основно училище   ""Св. Климент Охридски""",община,основно (І - VІІІ клас)
97,"Сандански, Благоевград, Сандански, 2800, гр. Сандански, ул. ""Малашевска"", № 4","Трето основно училище   ""Христо Ботев""",община,основно (І - VІІІ клас)
98,"Благоевград, Сандански, Сандански, Т. Каблешков - 2, 2800","Четвърто основно училище   "" Св. Св. Козма и Дамян """,община,основно (І - VІІІ клас)
99,"Благоевград, Сандански, Сандански, бул.Свобода № 14, 2800",Вечерна гимназия,община,гимназия (ІХ - ХІІ клас)
100,"Сандански, Благоевград, Сандански, ул.""Надежда""№15, 2800",Спортно училище,община,спортно
101,"Благоевград, Сандански, Склаве, 2811, ул. ""Първи май"" №24","Основно училище   ""Братя  Миладинови""",община,основно (І - VІІІ клас)
102,"Благоевград, Сатовча, Боголин, 0, 2931","Основно училище  ""Св.  Паисий Хилендарски""",община,основно (І - VІІІ клас)
103,"Благоевград, Сатовча, Ваклиново, 2957, ул. ""Алексей Морев"" № 1","Основно училище ""Стефка Събчева""",община,основно (І - VІІІ клас)
104,"Сатовча, Благоевград, Вълкосел, ул. ""Христо Ботев"" 3, 2930","Средно общообразователно  училище        ""Христо  Ботев""",община,СОУ (І - ХІІ клас)
105,"Годешево, Благоевград, Сатовча, 2938, Годешево","Основно училище ""Братя Миладинови""",община,основно (І - VІІІ клас)
106,"Сатовча, Благоевград, Долен, с.Долен,общ.Сатовча,обл.Благоевград, 2968","Основно училище ""Св.Св.Кирил и Методий""",община,основно (І - VІІІ клас)
107,"Жижево, Благоевград, Сатовча, с. Жижево, 2956","Начално училище ""Яне Сандански""",община,начално (І - ІV клас)
108,"Благоевград, Сатовча, Кочан, 2955, ул. ""Свилен Русев"" №1","Средно общообразователно училище   ""Христо Смирненски""",община,СОУ (І - ХІІ клас)
109,"Крибул, Благоевград, Сатовча, с.Крибул.общ.Сатовча, 2951","Основно училище  ""Светлина""",община,основно (І - VІІІ клас)
110,"Сатовча, Благоевград, Осина, Осина, 2953","Начално училище   ""Васил Левски""",община,начално (І - ІV клас)
111,"Сатовча, Благоевград, Плетена, мах.""Забърдо"", 2954","Основно училище   ""Св.Св.Кирил  и  Методий""",община,основно (І - VІІІ клас)
112,"Сатовча, Благоевград, Сатовча, ул. ""Кирил и Методий"" №14, 2950","Средно общообразователно училище   ""Св. св. Кирил и Методий""",община,СОУ (І - ХІІ клас)
113,"Слащен, Благоевград, Сатовча, 2937, ""Гоце Делчев"" №2","Средно общообразователно училище   ""Свети Климент Охридски""",община,СОУ (І - ХІІ клас)
114,"Благоевград, Сатовча, Туховища, 2939, с.Туховища","Основно училище ""Св.св.Кирил и Методий""",община,основно (І - VІІІ клас)
115,"Сатовча, Благоевград, Фъргово, с. Фъргово, 2952","Начално училище ""Пейо Яворов""",община,начално (І - ІV клас)
116,"Долно Осеново, Благоевград, Симитли, 2757, Долно Осеново","Основно училище    ""Св.Паисий Хилендарски""",община,основно (І - VІІІ клас)
117,"Благоевград, Симитли, Крупник, 2740, ул.""Св.св.Кирил и Методий"" №17","Средно общообразователно училище  ""Св.св.Кирил и Методий""",община,СОУ (І - ХІІ клас)
118,"Симитли, Благоевград, Симитли, ул. Хр. Ботев № 34, 2730","Средно общообразователно   училище  ""Св. Св. Кирил и Методий""",община,СОУ (І - ХІІ клас)
119,"Микрево, Благоевград, Струмяни, ул. ""Двадесет и девета"" № 1, 2826","Средно общообразователно училище   ""Св.  Паисий Хилендарски""",община,СОУ (І - ХІІ клас)
120,"Хаджидимово, Благоевград, Абланица, ул. Христо Ботев №1, 2932","Средно общообразователно училище  ,,Св. Паисий Хилендарски""",община,СОУ (І - ХІІ клас)
121,"Хаджидимово, Благоевград, Беслен, 2934, с. Беслен","Основно  училище  ""Гоце  Делчев""",община,основно (І - VІІІ клас)
122,"Блатска, Благоевград, Хаджидимово, 2941, 0","Основно училище ""Св. Св. Кирил и Методий""",община,основно (І - VІІІ клас)
123,"Благоевград, Хаджидимово, Копривлен, ул. ""Драма"" 25, 2921","Основно училище ""Никола Вапцаров""",община,основно (І - VІІІ клас)
124,"Хаджидимово, Благоевград, Хаджидимово, ""Иван Вазов"" 3, 2933","Средно общообразователно   училище ""Никола Йонков Вапцаров""",община,СОУ (І - ХІІ клас)
125,"Благоевград, Якоруда, Бел камен, с. Бел камен, 2793","Основно училище ""Неофит Рилски""",община,основно (І - VІІІ клас)
126,"Конарско, Благоевград, Якоруда, 2792, Конарско","Основно училище ""Братя Миладинови""",община,основно (І - VІІІ клас)
127,"Якоруда, Благоевград, Смолево, с. Смолево, 2794","Основно училище ""Гоце Делчев """,община,основно (І - VІІІ клас)
128,"Якоруда, Благоевград, Юруково, 2796, с.Юруково","Основно училище""Васил Левски""",община,основно (І - VІІІ клас)
129,"Благоевград, Якоруда, Якоруда, 2790, ул.""Цар БорисІІІ""№72","Професионална гимназия  по машиностроене ""Петко Рачов Славейков""",Министерство на образованието и науката,професионална гимназия
130,"Якоруда, Благоевград, Якоруда, ""СВ.св.Кирил и Методий"" №68, 2790","Средно общообразователно училище ""Св.Св. Кирил и Методий""",община,СОУ (І - ХІІ клас)
131,"Бургас, Айтос, Айтос, ул.""Шейново"" №1, 8500","Основно училище ""Атанас Манчев""",община,основно (І - VІІІ клас)
132,"Айтос, Бургас, Айтос, Айтос, ул.Станционна №11, 8500","Средно общообразователно училище   ""Христо Ботев""",община,СОУ (І - ХІІ клас)
133,"Бургас, Айтос, Айтос, ул.""Димитър Зехирев""58, 8500","СРЕДНО ОБЩООБРАЗОВАТЕЛНО УЧИЛИЩЕ    ""НИКОЛА ЙОНКОВ ВАПЦАРОВ""",община,СОУ (І - ХІІ клас)
134,"Бургас, Айтос, Айтос, ул."" Славянска "" № 50, 8500","Професионална гимназия   по селско стопанство  ""Златна нива""",Министерство на земеделието и храните,професионална гимназия
135,"Бургас, Айтос, Карагеоргиево, с.Карагеоргиево, 8543","ОСНОВНО УЧИЛИЩЕ   ""СВ.СВ.КИРИЛ И МЕТОДИЙ""",община,основно (І - VІІІ клас)
136,"Айтос, Бургас, Мъглен, с.Мъглен, 8523","Основно училище ""Христо Ботев""",община,основно (І - VІІІ клас)
137,"Бургас, Айтос, Пирне, с.Пирне, общ.Айтос, 8528","Основно училище ""Христо Ботев""",община,основно (І - VІІІ клас)
138,"Айтос, Бургас, Тополица, 8549, с.Тополица","Основно училище   ""Светлина""",община,основно (І - VІІІ клас)
139,"Бургас, Бургас, Бургас, 8010, ж.к. ""Славейков""","Начално базово училище ""Михаил Лъкатник""",община,начално (І - ІV клас)
140,"Бургас, Бургас, Бургас, 8008, ж.к. Изгрев, I етаж на СОУ ""Добри Чинтулов""","Частно начално училище ""Д-р Мария Монтесори""",частно финансиране,начално (І - ІV клас)
141,"Бургас, Бургас, Бургас, 8000, ул. ""Цар Симеон I"" 23","Основно училище  ""Петко Рачев Славейков""",община,основно (І - VІІІ клас)
142,"Бургас, Бургас, Бургас, 8000, ул. ""Кл. Охридски"" 31","ОСНОВНО УЧИЛИЩЕ  ""СВЕТИ КНЯЗ БОРИС І""",община,основно (І - VІІІ клас)
143,"Бургас, Бургас, Бургас, ул. "" Л.Каравелов "" 69, 8000","ОСНОВНО  УЧИЛИЩЕ  ""ЛЮБЕН КАРАВЕЛОВ""",община,основно (І - VІІІ клас)
144,"Бургас, Бургас, Бургас, 8009, Бургас, кв.Меден рудник, ул.Въстаническа №38","ОСНОВНО УЧИЛИЩЕ   ""НАЙДЕН ГЕРОВ""",община,основно (І - VІІІ клас)
145,"Бургас, Бургас, Бургас, 8005, к/сСлавейков""","Основно училище ""Антон Страшимиров"" - гр.Бургас",община,основно (І - VІІІ клас)
146,"Бургас, Бургас, Бургас, ж.к.""Изгрев"", 8008","ОСНОВНО УЧИЛИЩЕ  ""СВЕТИ КЛИМЕНТ ОХРИДСКИ""",община,основно (І - VІІІ клас)
147,"Бургас, Бургас, Бургас, жк ""Зорница"", 8018","Основно училище ""Георги Бенковски""",община,основно (І - VІІІ клас)
148,"Бургас, Бургас, Бургас, 8000, к/с "" Лазур"" ул. "" Карлово "" №21","ОСНОВНО УЧИЛИЩЕ   "" ПЕЙО ЯВОРОВ""",община,основно (І - VІІІ клас)
149,"Бургас, Бургас, Бургас, 8000, ул. ""Сан Стефано "" № 88","Основно училище  ""Васил Априлов""",община,основно (І - VІІІ клас)
150,"Бургас, Бургас, Бургас, 8000, ж.к.""Братя Миладинови""","Основно училище  ""Братя Миладинови""",община,основно (І - VІІІ клас)
151,"Бургас, Бургас, Бургас, ж.к.""Меден рудник"", 8011","Основно училище ""Елин Пелин""",община,основно (І - VІІІ клас)
152,"Бургас, Бургас, Бургас, 8017, Бургас, кв. Горно Езерово","ОСНОВНО УЧИЛИЩЕ    ""ВАСИЛ ЛЕВСКИ""",община,основно (І - VІІІ клас)
153,"Бургас, Бургас, Бургас, 8016, гр.Бургас, кв. Сарафово, ул. Ангел Димитров"" № 71","Основно училище ""Христо  Ботев""",община,основно (І - VІІІ клас)
154,"Бургас, Бургас, Бургас, гр.Бургас, кв.Победа, ул.""Велека"" №2, 8002",Основно училище  ХРИСТО БОТЕВ,община,основно (І - VІІІ клас)
155,"Бургас, Бургас, Бургас, 8019, кв. Д.Езерово, ул."" П.Д.Петков"" №28","Основно училище   "" Христо Ботев""",община,основно (І - VІІІ клас)
156,"Бургас, Бургас, Бургас, 8125, ""Хаджи Димитър"" 8","ОСНОВНО УЧИЛИЩЕ ""ИВАН ВАЗОВ""",община,основно (І - VІІІ клас)
157,"Бургас, Бургас, Бургас, 8127, кв. Ветрен ул.Китен № 17","ОСНОВНО УЧИЛИЩЕ ""ХРИСТО БОТЕВ""",община,основно (І - VІІІ клас)
158,"Бургас, Бургас, Бургас, ул. ""Христо Ботев"" № 42, 8000","Средно общообразователно училище   ""Иван Вазов""",община,СОУ (І - ХІІ клас)
159,"Бургас, Бургас, Бургас, 8008, к/с ""Изгрев""","СРЕДНО ОБЩООБРАЗОВАТЕЛНО  УЧИЛИЩЕ "" ЙОРДАН ЙОВКОВ""",община,СОУ (І - ХІІ клас)
160,"Бургас, Бургас, Бургас, 8010, к-с ""Славейков"" до бл.44","Средно общообразователно училище    ""Епископ Константин Преславски""",община,СОУ (І - ХІІ клас)
161,"Бургас, Бургас, Бургас, 8005, к-с ""Славейков"" до бл. 5","СРЕДНО ОБЩООБРАЗОВАТЕЛНО УЧИЛИЩЕ   ""ДИМЧО ДЕБЕЛЯНОВ""",община,СОУ (І - ХІІ клас)
162,"Бургас, Бургас, Бургас, 8000, ж. к."" Изгрев""","Средно общообразователно училище   ,,Добри Чинтулов""",община,СОУ (І - ХІІ клас)
163,"Бургас, Бургас, Бургас, к-с "" Меден Рудник"", 8011","Средно общообразователно училище   ""Константин Петканов""",община,СОУ (І - ХІІ клас)
164,"Бургас, Бургас, Бургас, 8011, к-с""Меден рудник""","Средно общообразователно училище   ""Петко Росен""",община,СОУ (І - ХІІ клас)
165,"Бургас, Бургас, Бургас, пл. ""Св. Св. Кирил и Методий"" № 1, 8000","Средно общообразователно училище ""Св.Св. Кирил и Методий""",община,СОУ (І - ХІІ клас)
166,"Бургас, Бургас, Бургас, бул.  Ст. Стамболов № 19, 8000","Гимназия за романски езици      ""Георги Стойков Раковски""",община,профилирана гимназия
167,"Бургас, Бургас, Бургас, к/с "" Зорница "" п.к.2, 8018","Гимназия с преподаване  на английски език ""Гео Милев""",община,профилирана гимназия
168,"Бургас, Бургас, Бургас, к/с ""Зорница"", 8018","Гимназия с преподаване на немски език ""Гьоте""",община,профилирана гимназия
169,"Бургас, Бургас, Бургас, ул. ""Копривщица"" №10, 8000","Гимназия за чужди езици ""Васил Левски""",община,профилирана гимназия
170,"Бургас, Бургас, Бургас, бул.""Ст. Самболов"" №19, 8000","Природоматематическа гимназия  ""Акад. Никола Обрешков""",община,профилирана гимназия
171,"Бургас, Бургас, Бургас, 8000, к/с Зорница  бл.46","СПОРТНО УЧИЛИЩЕ  ""ЮРИЙ ГАГАРИН""",Министерство на младежта и спорта,спортно
172,"Бургас, Бургас, Бургас, бул.""Ст.Стамболов""№53, 8001","Професионална гимназия по туризъм  ""Проф.д-р Асен Златаров""",община,професионална гимназия
173,"Бургас, Бургас, Бургас, 8000, ул.""Индустриална""1","Професионална гимназия по морско   корабоплаване и риболов  ""Свети Никола""",Министерство на образованието и науката,професионална гимназия
174,"Бургас, Бургас, Бургас, 8000, бул. ""Стефан Стамболов"" 69",ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО МЕХАНОЕЛЕКТРОТЕХНИКА И ЕЛЕКТРОНИКА,община,професионална гимназия
175,"Бургас, Бургас, Бургас, бул. ""Стефан Стамболов"" 69, 8000","Професионална гимназия по строителство,  архитектура и геодезия ""Кольо Фичето""",община,професионална гимназия
176,"Бургас, Бургас, Бургас, ул.Георги Шагунов №1, 8000",Търговска гимназия,община,професионална гимназия
