№,Адрес,Име на училище,Вид училище по чл. 10 от ЗНП,Вид училище по чл. 26от ЗНП
1152,"Плевен, Долна Митрополия, Ставерци, 5863, ул.""Цанко Церковски""№29","Основно училище ""Св.св.Кирил и Методий""",община,основно (І - VІІІ клас)
1153,"Плевен, Долна Митрополия, Тръстеник, ул.""Ф.Александров""№14, 5857","Средно общообразователно училище    ""Евлоги Георгиев""",община,СОУ (І - ХІІ клас)
1154,"Горни Дъбник, Плевен, Долни Дъбник, ул. ""Г. Димитров"" 89, 5880","Основно училище ""Св. Св. Кирил и Методий""",община,основно (І - VІІІ клас)
1155,"Градина, Плевен, Долни Дъбник, ул. ""Симеон Йончев"" №2, 5879","Основно училище ""Неофит Рилски""",община,основно (І - VІІІ клас)
1156,"Долни Дъбник, Плевен, Долни Дъбник, 5870, ул. ""Васил Левски"" № 30","Начално училище ""Св.св. Кирил и Методий""",община,начално (І - ІV клас)
1157,"Долни Дъбник, Плевен, Долни Дъбник, ул.""Христо Янчев"" № 58, 5870","Средно общообразователно   училище ""Христо Ботев""",община,V - ХІІ клас
1158,"Плевен, Долни Дъбник, Долни Дъбник, ул. ""Владимир Стойчев"" №1, 5870","Професионална гимназия по селско   стопанство ""Професор Иван Иванов""",Министерство на земеделието и храните,професионална гимназия
1159,"Плевен, Долни Дъбник, Долни Дъбник, 5870, ул.""Христо Янчев""151","Помощно училище - интернат ""Асен Киселинчев""",Министерство на образованието и науката,помощно (за деца с умствена изостаналост)
1160,"Крушовица, Плевен, Долни Дъбник, ул.""Димитър Благоев"" №1, 5881","Основно училище ""Свети Свети Кирил и Методий""",община,основно (І - VІІІ клас)
1161,"Долни Дъбник, Плевен, Петърница, 5878, ул. ""Георги Димитров"" №9","Основно училище ""Св. Св. Кирил и Методий""",община,основно (І - VІІІ клас)
1162,"Долни Дъбник, Плевен, Садовец, ул.""Св.св.Кирил и Методий"" № 2, 5896","Основно училище ""Христо Ботев""",община,основно (І - VІІІ клас)
1163,"Искър, Плевен, Долни Луковит, 5867, площад ""Христо Ботев"" №6","Основно училище   ""Васил Левски""",община,основно (І - VІІІ клас)
1164,"Искър, Плевен, Искър, ул. Георги Димитров 43, 5868","Средно общообразователно училище   ""Христо  Смирненски""",община,СОУ (І - ХІІ клас)
1165,"Искър, Плевен, Писарово, ул.""Александър Стамболийски""№7, 5871","Начално училище ""Христо Ботев""",община,начално с (присъединена) група в детска градина
1166,"Плевен, Кнежа, Бреница, ул.""Хр.Ботев""№12, 5834","Основно училище  ""Христо Ботев""",община,основно (І - VІІІ клас)
1167,"Плевен, Кнежа, Еница, ул.""Ленин"" № 5, 5837","Основно училище ""Васил Левски """,община,основно (І - VІІІ клас)
1168,"Плевен, Кнежа, Кнежа, УЛ. ""Христо Ботев"" №20, 5835","Начално училище ""Кнежица""  с филиал",община,начално (І - ІV клас)
1169,"Кнежа, Плевен, Кнежа, ул ""Опълченска""84, 5835","Основно училище ""Васил Левски""",община,основно (І - VІІІ клас)
1170,"Кнежа, Плевен, Кнежа, ул. "" Паисий"" № 26, 5835","Основно училище "" Отец Паисий""",община,основно (І - VІІІ клас)
1171,"Кнежа, Плевен, Кнежа, 5835, ул. ""Христо Смирненски""  № 52","Средно общообразователно училище ""Неофит Рилски""",община,СОУ (І - ХІІ клас)
1172,"Кнежа, Плевен, Кнежа, 5835, ул.""Марин Боев"" № 5","Професионална гимназия по земеделие ""Стефан Цанов""",Министерство на земеделието и храните,професионална гимназия
1173,"Кнежа, Плевен, Кнежа, ул. ""Марин Боев"" №5, 5835","Професионална гимназия по   механоелектротехника ""Христо Смирненски""",Министерство на образованието и науката,професионална гимназия
1174,"Асеновци, Плевен, Левски, 5913, ул.""Стадиона"" №6","Основно училище ""Христо Ботев""",община,основно (І - VІІІ клас)
1175,"Левски, Плевен, Българене, ул.Христо Ботев 5, 5923","Основно училище ""Христо Ботев""",община,основно (І - VІІІ клас)
1176,"Левски, Плевен, Левски, 5900, ул.""Отец Паисий"" № 10","Начално училище ""Христо Ботев""",община,начално (І - ІV клас)
1177,"Левски, Плевен, Левски, 5900, ул. ""В.Априлов"" № 50","Основно училище  ""Максим Горки""",община,основно (І - VІІІ клас)
1178,"Плевен, Левски, Левски, 5900, ул.""Иван Вазов"" № 2","Средно   общообразователно училище   ""Крум Попов""",община,СОУ (І - ХІІ клас)
1179,"Плевен, Левски, Левски, 5900, Ул.""Антим I"" N 11",Професионална гимназия по транспорт и лека промишленост,Министерство на образованието и науката,професионална гимназия
1180,"Плевен, Левски, Левски, ул.""Индустриална""- 1, 5900","Професионална гимназия по селско стопанство ""Никола Йонков Вапцаров""",Министерство на земеделието и храните,професионална гимназия
1181,"Малчика, Плевен, Левски, ул.""В.Левски"" № 20, 5917","Основно училище  ""Васил Левски""",община,основно (І - VІІІ клас)
1182,"Плевен, Левски, Обнова, ул.""Заря"" № 18, 5922","Основно училище  ""Неофит Рилски""",община,основно (І - VІІІ клас)
1183,"Плевен, Никопол, Никопол, ул. ""Сливница"" 7, 5940","Средно общообразователно училище   ""Христо Ботев""",община,СОУ (І - ХІІ клас)
1184,"Плевен, Никопол, Новачене, 5950, ул. "" Христо Ботев"" 2","Основно училище  ""Патриарх Евтимий""",община,основно (І - VІІІ клас)
1185,"Беглеж, Плевен, Плевен, ул.""Христо Ботев"" №6, 5872","Основно училище ""Васил Левски""",община,основно (І - VІІІ клас)
1186,"Плевен, Плевен, Бохот, 5891, ул. Л.Каравелов №3","Основно училище   ""Антон Страшимиров""",община,основно (І - VІІІ клас)
1187,"Плевен, Плевен, Бръшляница, 5884, Бръшляница","Основно училище ""Св. Св. Кирил и Методий""",община,основно (І - VІІІ клас)
1188,"Плевен, Плевен, Буковлък, ул.""Площадна""№7, 5839","Основно училище  ""Свети Климент Охридски""",община,основно (І - VІІІ клас)
1189,"Върбица, Плевен, Плевен, 5845, ул.""Шипка""№7","Начално училище ""Отец Паисий"" с общежитие",община,начално (І - ІV клас)
1190,"Плевен, Плевен, Дисевица, Дисевица, 5886","Начално училище ""Христо Ботев""",община,начално (І - ІV клас)
1191,"Мечка, Плевен, Плевен, 5843, ул. ""Хр. Ботев"" №6","Основно училище ""Христо Ботев""",община,основно (І - VІІІ клас)
1192,"Николаево, Плевен, Плевен, 5874, ул.Христо Ботев №7","Основно училище ""Христо Ботев""",община,основно (І - VІІІ клас)
1193,"Опанец, Плевен, Плевен, с.Опанец, ул. ""Кирил и Методий"" №42, 5851","Основно училище""Отец Паисий""",община,основно (І - VІІІ клас)
1194,"Плевен, Плевен, Пелишат, с.Пелишат, ул.""Христо Кънчев"" №6, 5895","Основно училище   ""Христо Ботев""",община,основно с (присъединена) група в детска градина
1195,"Плевен, Плевен, Плевен, 5800, ул. ""Бяло море"" №2","Начално училище ""Единство""",община,начално (І - ІV клас)
1196,"Плевен, Плевен, Плевен, 5800, ул.""Парашкев Цветков"" №35","Начално училище ""Христо Ботев""",община,начално (І - ІV клас)
1197,"Плевен, Плевен, Плевен, 5800, ул.""П.Евтимий"" №3","Hачално училище   ""Патриарх Евтимий""",община,начално (І - ІV клас)
1198,"Плевен, Плевен, Плевен, 5800, ул.""Отец Паисий"" №10","Начално училище ""Отец Паисий""",община,начално (І - ІV клас)
1199,"Плевен, Плевен, Плевен, 5800, гр. Плевен  ул. ""Мир"" № 12","Основно училище   ""Никола Йонков Вапцаров""",община,основно (І - VІІІ клас)
1200,"Плевен, Плевен, Плевен, кв.Сторгозия ул.""Д-р П.Берон""№2, 5802","Основно училище ""Д-р Петър Берон""",община,основно с (присъединена) група в детска градина
1201,"Плевен, Плевен, Плевен, 5800, Плевен; ж.к. Дружба"" І","Основно училищe    ""Свети Климент Охридски""",община,основно (І - VІІІ клас)
1202,"Плевен, Плевен, Плевен, 5800, ул.""Стара планина"" 6","Основно училище  ""Васил Левски""",община,основно (І - VІІІ клас)
1203,"Плевен, Плевен, Плевен, ул. ""Петко Каравелов"" № 22, 5800","Основно училище   ""Йордан Йовков""",община,основно (І - VІІІ клас)
1204,"Плевен, Плевен, Плевен, 5800, ул. ""Кала Тепе"" № 3","Основно училище ""Лазар Станев""",община,основно (І - VІІІ клас)
1205,"Плевен, Плевен, Плевен, 5800, ул. ""Иван Вазов"" №15","Прогимназия ""Цветан Спасов""",община,прогимназия (V - VІІІ клас)
1206,"Плевен, Плевен, Плевен, 5800, ж.к. ""Сторгозия""","Математическа гимназия ""Гео Милев""",община,профилирана гимназия
1207,"Плевен, Плевен, Плевен, ул ,,Александър Стамболийски"" 22, 5800",Гимназия с преподаване   на чужди езици,община,СОУ (І - ХІІ клас)
1208,"Плевен, Плевен, Плевен, 5800, ул.""Отец Паисий"" № 10","Средно общообразователно училище   ""Анастасия Димитрова""",община,V - ХІІ клас
1209,"Плевен, Плевен, Плевен, 5802, кв. ""Сторгозия""","Средно общообразователно училище  ""Стоян Заимов""",община,СОУ (І - ХІІ клас)
1210,"Плевен, Плевен, Плевен, 5800, Ул.""Иван Вазов"" №46","Средно общообразователно  училище    "" ИВАН ВАЗОВ """,община,СОУ (І - ХІІ клас)
1211,"Плевен, Плевен, Плевен, 5802, ж.к.""Сторгозия""","Средно общообразователно училище ""Пейо Крачолов Яворов""",община,СОУ (І - ХІІ клас)
1212,"Плевен, Плевен, Плевен, 5800, ул""Св.Кл.Охридски""№22","Средно общообразователно училище  ""Христо Смирненски""",община,СОУ (І - ХІІ клас)
1213,"Плевен, Плевен, Плевен, ул. ""Генерал Владимир Вазов"" № 1, 5800","Спортно училище   ""Георги Бенковски""",Министерство на младежта и спорта,спортно
1214,"Плевен, Плевен, Плевен, 5806, ж.к.Дружба","Държавна финансово-стопанска гимназия   ""Интелект""",община,професионална гимназия
1215,"Плевен, Плевен, Плевен, 5800, Ул.Климент Охридски 25",Професионална гимназия по  механоелектротехника,Министерство на образованието и науката,професионална гимназия
1216,"Плевен, Плевен, Плевен, ж.к. ""Сторгозия"", 5802","Професионална гимназия   по хранително-вкусови технологии ""Луи Пастьор""",Министерство на земеделието и храните,професионална гимназия
1217,"Плевен, Плевен, Плевен, 5800, бул.""Георги Кочев"" № 102",Професионална гимназия по мениджмънт и хранителни технологии,Министерство на земеделието и храните,професионална гимназия
1218,"Плевен, Плевен, Плевен, 5800, ""Александър Стамболийски"" №16","Професионална гимназия по строителство, архитектура и геодезия  ""Никола Фичев""",Министерство на образованието и науката,професионална гимназия
1219,"Плевен, Плевен, Плевен, 5800, к-с ""Сторгозия"" №100","Професионална гимназия по транспорт  ""Проф. Цветан Лазаров""",Министерство на образованието и науката,професионална гимназия
1220,"Плевен, Плевен, Плевен, 5800, ул. Сторгозия 97","Професионална гимназия по   лозарство и  винарство ""Александър Стамболийски""",Министерство на земеделието и храните,професионална гимназия
1221,"Плевен, Плевен, Плевен, ул,,Д.Константинов""""21, 5800","Професионална гимназия по облекло и текстил ""Христо Бояджиев""",Министерство на образованието и науката,професионална гимназия
1222,"Плевен, Плевен, Плевен, 5800, ул. ""Цар Самуил"" № 2","Професионална гимназия по електроника и химични технологии ""Проф.Асен Златаров""",Министерство на образованието и науката,професионална гимназия
1223,"Плевен, Плевен, Плевен, ул. Самуил №2, 5800","Професионална гимназия по ресторантьорство,  търговия и обслужване",Министерство на образованието и науката,професионална гимназия
1224,"Плевен, Плевен, Плевен, ж.к.""Сторгозия"", 5800","Професионална гимназия по подемна, строителна и транспортна техника ""Г.С.Раковски""",Министерство на образованието и науката,професионална гимназия
1225,"Плевен, Плевен, Плевен, ул.""Гривишко шосе""№2, 5800","Професионална гимназия   ""Захарий Зограф""",Министерство на земеделието и храните,професионална гимназия
1226,"Плевен, Плевен, Плевен, 5802, ""Сторгозия""100","Професионална гимназия по туризъм ""Алеко Константинов""",Министерство на образованието и науката,професионална гимназия
1227,"Плевен, Плевен, Плевен, ГР. ПЛЕВЕН, 5800",Начално болнично училище,община,болнично
1228,"Плевен, Плевен, Плевен, жк.""Сторгозия"", ПК 523, 5802","Помощно училище ""Петко  Рачев  Славейков""",Министерство на образованието и науката,помощно (за деца с умствена изостаналост)
1229,"Плевен, Плевен, Плевен, 5800, ул. "" Никола Д. Петков""","Частен професионален колеж  ""ИКОМ ИНТЕЛЕКТ""",частно финансиране,професионален колеж
